epic_number,Period_1,Period_2,amp_ratio_21,k2_teff,k2_rad,k2_mass,abs_magnitude,lc_amplitude,p2p_98,p2p_mean,stddev,kurtosis,skew,iqr,mad,max_binned_p2p,mean_binned_p2p,RRab_dist,EA_dist,EB_dist,GDOR_DSCUT_dist,template_dist,class,probability
210711034,0.057641166,0.0679503,1.1788501988318558,6827.0,2.43,1.69,2.8022081311501275,19641.26679151505,10713.727437374844,2.811287057478249,3087.365851763573,-0.44864882123094985,0.04575925601456026,4463.215877387207,3325.489319903691,0.3221003750644387,0.002364448339638577,12.529964086141668,23.60084744241189,14.560219778561034,12.041594578792296,0.5781947221758819,DSCUT,0.987914
210960936,1.43077247,0.477006804,0.33339109746778955,6455.0,1.71,1.34,3.3631983803312906,56711.855708718416,16886.064285506345,0.4508199362987056,11964.732527213791,8.10281262254848,-2.9579974504400806,3728.780756104447,2563.781644123945,0.3420127510569971,0.0013981430289094982,20.615528128088304,3.0,12.0,23.430749027719962,0.2787946264955816,EB,0.923165
210357981,20.0,18.82580772,0.9412903859999999,3753.0,0.33,0.36,9.901800016168718,96.1691866084202,19.560230230410188,-0.005519394457722241,7.800209540461577,1.9940882395470807,-0.19156293085712525,10.09439335849038,7.463599686849978,,,,,,,,Noise,0.939008
210421654,8.520708746,8.998957125,1.0561277697966749,5140.0,0.89,0.9,6.39405620526788,1428.1715892935172,48.38210303239061,0.03341395383445582,363.2093944286996,-1.0512711869316775,0.15831510212200836,610.1883969766495,455.3623685075945,0.08597793221039729,0.00029771990536557624,12.369316876852979,26.24880949681337,17.720045146669353,9.433981132056603,0.3750839073124238,OTHPER,0.994157
211056908,0.041988572,0.049841156,1.1870171721962823,7133.0,1.83,1.61,3.2020581334409868,3692.908204686828,1527.7939554167724,-0.02350953183756578,444.22954241530886,0.12139004592305105,-0.006634287184545972,608.6278548818083,447.96288236278826,0.2635727301149278,0.0031186580084803226,18.788294228055925,19.209372712298546,15.620499351813304,10.44030650891055,0.3693105960030905,DSCUT,0.973373
210511761,12.50965125,13.232365,1.0577724938574926,5549.0,0.9,0.94,6.107228597612464,1316.300629565696,50.45510297408735,0.1785586624515732,338.014745310956,-1.172038715805289,-0.20602251234784769,595.6810946958867,422.7629037358829,0.07640217796452242,4.638575592899649e-05,17.804493814764854,20.12461179749811,11.401754250991381,14.31782106327635,0.6135992379982282,OTHPER,0.991899
210780851,15.84836353,16.847578100000003,1.0630484382888208,6149.0,1.39,1.14,0.9383594604225394,4342.325826039945,59.833988396225,0.002093348066173406,439.5106726313243,67.40847379025762,-8.154662375312165,91.74646646800102,67.88382105857778,0.7087820458721656,0.014619068029332062,21.93171219946131,1.0,16.0,21.095023109728988,0.5643441172132565,EA,0.661748
210477601,10.96910574,10.39989167,0.9481075227559982,4125.0,0.5,0.56,7.8909768098595965,355.93090998944535,33.758406788905766,0.024231947367512312,83.05594328489833,-1.0289694392937587,0.2348307415635371,137.43914835594478,101.74464139997498,0.10345867005506948,0.00033562271340152567,19.104973174542803,22.203603311174522,21.633307652783934,1.0,0.06633164583350508,OTHPER,0.989713
210512162,4.110152824,0.342499904,0.08333021147050175,6201.0,1.49,1.21,2.560269204477919,28154.1650329904,5791.147543981889,-0.0218494404211014,4870.636203628793,13.947219253282473,-3.859316378614648,515.1245891049039,376.5131905253127,0.7046327809675129,0.0049120155247127,21.54065922853801,0.0,15.0,21.633307652783934,1.1348365484104528,EA,0.999634
210404228,1.119948434,0.093333516,0.0833373333686897,4818.0,3.69,0.92,3.661127343633755,5755.010357280844,1835.5851356571368,0.9279188968565784,1205.0335813696038,4.13519263474251,-2.2399429029347817,459.10161011479795,332.87028996731163,0.31986158940094955,0.003117540072413394,20.396078054371138,4.0,11.0,24.08318915758459,0.5981645858685386,EB,0.967372
210507908,0.670229097,0.6319252329999999,0.9428495955018198,,,,8.050327243139073,191.77193462756668,47.90764400419872,0.033083522105990686,43.37655287047984,-0.6920529008775862,0.5407909300309696,67.32167654004857,44.53544435243383,0.17294354166896106,0.0001505703011411116,4.0,17.88854381999832,17.464249196572982,20.8806130178211,0.18247504385698074,RRab,0.627506
210440131,5.912632422000001,5.622355301,0.9509056034128008,5882.0,2.08,1.17,,337.44696534257673,30.822371353174084,0.011273085047715084,60.49760103446838,-0.7073477322475799,-0.2050688234760752,94.88416655755282,63.37660050853325,0.10067122716550314,0.0005599871830455122,21.633307652783934,16.1245154965971,13.601470508735444,14.142135623730953,0.3308237489938328,OTHPER,0.991269
210734337,9.371495512000001,1.040991462,0.11108061255186352,5847.0,1.91,1.17,3.0638138363973813,135598.73658483132,12863.28384200147,-0.9965403018485822,22195.37283144439,14.734464327086105,-3.8955319523472425,2416.272672622756,1782.848249750636,0.7456051829817382,0.0046092592410522356,21.93171219946131,1.0,16.0,21.095023109728988,1.142899375757612,EA,0.99113
210784039,3.511520189,0.7025340370000001,0.2000654984700702,6437.0,1.56,1.32,2.853761969782189,8898.571341922507,1114.7505189698281,2.352134388250648,1236.5756167129587,24.489230977470516,-4.828209568090994,464.6292910553749,344.7931907967371,0.5445083068081817,0.008131428349838044,21.54065922853801,0.0,15.0,21.633307652783934,0.15526694283098572,EA,0.979549
