,Period_1,PeriodAmp1,P1 0.5 Harmonic Amp,P1 2 Harmonic Amp,P1 3 Harmonic Amp,P1 4 Harmonic Amp,P1 5 Harmonic Amp,Period_2,PeriodAmp2,P2 0.5 Harmonic Amp,P2 2 Harmonic Amp,P2 3 Harmonic Amp,P2 4 Harmonic Amp,P2 5 Harmonic Amp,Period_3,PeriodAmp3,P3 0.5 Harmonic Amp,P3 2 Harmonic Amp,P3 3 Harmonic Amp,P3 4 Harmonic Amp,P3 5 Harmonic Amp,Period_4,PeriodAmp4,P4 0.5 Harmonic Amp,P4 2 Harmonic Amp,P4 3 Harmonic Amp,P4 4 Harmonic Amp,P4 5 Harmonic Amp,Period_5,PeriodAmp5,P5 0.5 Harmonic Amp,P5 2 Harmonic Amp,P5 3 Harmonic Amp,P5 4 Harmonic Amp,P5 5 Harmonic Amp,Period Doubled,Campaign Number
201280924.0,16.168,0.1089117239,,0.00755621879367039,0.004523058534834725,0.0048920619003152655,0.006016394268908842,17.0264937368,0.0936096541,,0.00755621879367039,0.004523058534834725,0.0048920619003152655,0.0048920619003152655,15.3919230384,0.0901748879,,0.0042903720787736445,0.004523058534834725,0.0048920619003152655,0.006016394268908842,17.9812690236,0.0611113354,,0.005289464111734061,0.0028881838048851736,0.0019655359301052225,0.0022560106846761132,20.0,0.0428236807,,0.003106053231178023,0.0042903720787736445,0.001916998665021763,,0.0,1.0
201571178.0,13.4544498949,0.0367794687,,0.0020240409962416325,0.007827372063625446,0.009588557314677755,0.009588557314677755,20.0,0.0314294943,,0.022078496540019574,0.0020240409962416325,0.007891826572817314,0.003977399698105821,14.1678043021,0.0244239809,,0.011795629072410425,0.0051299805355523335,0.006338880733858812,0.009588557314677755,12.8094872736,0.0232525821,,0.0033297934104313,0.0027335421313824846,0.009588557314677755,0.003598762706500746,11.0446687951,0.0220784965,,0.0056672477978881594,0.002644009978905681,0.009588557314677755,0.004235881743549906,0.0,1.0
201762815.0,0.4464666448,0.966917411,0.0030791374301613558,0.04808688157405142,0.005929964717068154,0.002651649784311235,0.0036473912628820684,0.0480905428,0.0036473913,0.0004951699925910928,,,,,0.2719222679,0.0034593841,0.000317169346629663,0.0019361291517551189,0.0032573655832171663,0.002651649784311235,0.0019496291219489783,2.488956588,0.0032822269,8.155274055193455e-05,0.0005116028272805034,0.00023377190760533146,0.0006151097603347449,0.0002573539360637629,0.084503484,0.0032573656,0.0005907483251401574,0.00038651449866001093,,,,1.0,1.0
201377900.0,20.0,0.0668562508,,0.004596601037722462,0.007898934686424677,0.004772450543065328,0.003699770973908625,18.8258077168,0.0600901335,,0.010753912030349056,0.007898934686424677,0.004772450543065328,0.0015984799746808966,17.7818425988,0.0410582225,,0.011758727775441537,0.004772450543065328,0.003699770973908625,0.0022128837442230613,16.8475780976,0.0218656087,,0.011758727775441537,0.004772450543065328,0.000736379019287493,0.002354187020848577,2.0037100911,0.0159055674,,0.005350522167771796,0.007392889125935755,0.0038926650171546783,0.004224021054230863,0.0,1.0
201448202.0,19.7535881475,0.1407719632,,0.007667412274868432,0.0025680123952840864,0.0024088552442540104,0.0024759397704675343,18.607321978,0.1223978362,,0.007525684518397443,0.002499350695435033,0.0019147262748244037,0.003964618582530815,17.586791243,0.0707072917,,0.004150499805720007,0.0014885834036176139,0.001819808841894703,0.0043272891223035325,12.3174389325,0.0286159566,,0.0024835874658686303,0.0015185776782490757,0.004991022681101263,0.004991022681101263,14.4227013221,0.0240752611,,0.004150499805720007,0.0011098633979435889,0.002325047018488449,0.004991022681101263,0.0,1.0
201700978.0,16.3327024096,0.6448928287,,0.06116546446340503,0.004899979077519392,0.0034658738212354394,0.003684528005196688,17.2092502129,0.5471300656,,0.06116546446340503,0.0039162934307952375,0.004899979077519392,0.002177081649140959,15.5411202849,0.5101368497,,0.004937394766418195,0.004899979077519392,0.001517418232660475,0.0013357066989430101,18.1852193886,0.291937996,,0.0738390366911941,0.005185100770286497,0.004899979077519392,0.0003579698811476971,12.6080246914,0.2153648413,,0.005185100770286497,0.0017436524140196248,0.0006699691899825335,0.0030441448641632947,0.0,1.0
201709153.0,20.0,0.0165651284,,0.011517514224499236,0.001800811143510554,0.0014212264157949495,0.0013673445012658027,10.6769175159,0.0115175142,,0.0014212264157949495,0.0026062600480825323,0.00365855586359842,0.0054048484648634276,18.8258077168,0.0097739025,,0.0024698695086002383,0.0014137242002435605,0.0012461743158008647,0.0014146916191519995,0.2470350995,0.0092188253,0.0038241915570007604,0.0033729275434382375,0.0036735635631992064,0.0031139244438706595,0.004442829094116952,13.1240494215,0.0089057664,,0.0012303921199767578,0.0010304444340796276,0.0026062600480825323,0.00365855586359842,0.0,1.0
201318977.0,7.5926365326,0.6683578909,0.04909601587020589,0.003957068856881247,0.001925491189126101,0.001898275521630704,0.0009976705895936473,7.216704098,0.2465304806,0.06320606985551216,0.00519718889203129,0.0009050033602425936,0.001898275521630704,0.0010023724521017695,8.0098874623,0.2343117829,0.03700493989830119,0.0075219651666475484,0.0015088505174915092,0.001898275521630704,0.0006134299511611191,8.899060244,0.076281732,0.024756211986605527,0.021501961436662546,0.00519718889203129,0.0008967513707685968,0.0003601085097711135,12.5096512518,0.0688911834,,0.019428605351127965,0.0036754364154413734,0.00519718889203129,0.00043565451308820777,0.0,1.0
201576812.0,5.6938863269,0.0513807929,0.04562921304375391,0.03861684910136013,0.03690666328401176,0.0351679662024375,0.03305887134025642,6.1156103427,0.045629213,0.0014089596187252021,0.007509913069033054,0.02063956537457559,0.0025469472464695318,0.017645790148727535,0.4772908069,0.0334805873,0.0015785206118291214,0.02478473315565417,0.0162513832307596,0.00933258028713722,0.003877649211430643,0.4091962867,0.0294853569,0.01770952616706894,0.021746205531958326,0.011254191551374023,0.004782722457102077,0.0017189955061273272,0.3580257906,0.0287946597,0.01836667731595787,0.01825474085068716,0.004788862657805653,0.0017189955061273272,0.0008864377086555164,1.0,1.0
201890494.0,2.5325271685,0.117181201,0.03605153756066954,0.0869053330344157,0.08091566905611021,0.06873863778683756,0.06099680103492931,0.2113729305,0.0504720842,0.006265048885988284,0.012700227715769395,0.0014801950282541728,0.0004221584247124377,0.0003579041116680287,0.1811807726,0.0416171228,0.025137790280709,0.004563027354062352,0.0006219545982420634,0.0004221584247124377,,0.1585357848,0.0322790971,0.020573165423222378,0.002027581549803609,0.0004221584247124377,,,0.8455480406,0.0311992398,0.006824731182190743,0.006265048885988284,0.020692744697469023,0.01767050922965955,0.011629970698057013,1.0,1.0
