,epic,DJA_period,SJH_period,class,probability
0,201826968,0.361762,0.361748355,    EB,0.997466
0,201592476,14.452217999999998,11.12128014, Noise,0.9847469999999999
0,201926949,10.229166000000001,10.26670053,OTHPER,0.997439
0,201774941,19.448055,14.29411655, Noise,0.981886
0,201199000,0.592662,10.13687781,  GDOR,0.663535
0,201698669,0.314744,0.314737453,    EB,0.993093
0,201903779,1.8003330000000002,1.7991041730000001,  GDOR,0.7372890000000001
0,201940767,0.29373299999999997,0.293720677,    EB,0.9985290000000001
0,201751439,19.940404,14.82272104, Noise,0.9861280000000001
0,201644790,16.409291,9.707257881, Noise,0.984605
0,201427257,19.9404,14.82272104, Noise,0.983735
0,201266727,0.281579,0.28159749100000003,    EB,0.9995719999999999
0,201330992,18.75349,10.20137616, Noise,0.990399
0,201182911,1.993526,1.992708779,    EA,0.982395
0,201356556,13.940646,13.80191578,OTHPER,0.9962290000000001
0,201809540,11.252077,11.19896174,OTHPER,0.995873
0,201754974,11.4985,11.52085209,OTHPER,0.9921209999999999
0,201753254,19.94043,19.27854202, Noise,0.983139
0,201786731,16.409292,15.54112028, Noise,0.9869290000000001
0,201501958,7.956017,7.970069948,OTHPER,0.9906969999999999
0,201681411,0.281353,0.281350415,    EB,0.986243
0,201585232,13.590675,11.95020618, Noise,0.9816010000000001
0,201423623,14.722354999999999,20.0, Noise,0.982058
0,201257260,9.547233,9.591117994,OTHPER,0.992557
0,201593658,19.940423000000003,20.0, Noise,0.984893
0,201892629,16.938637,20.0, Noise,0.9810979999999999
0,201180520,12.602361,12.70795757,OTHPER,0.9934219999999999
0,201430034,19.9404,2.008730883, Noise,0.9860479999999999
0,201129544,15.59699,15.69323825,OTHPER,0.993138
0,201546971,15.912035999999999,14.5536205, Noise,0.985052
0,201583400,9.907494999999999,19.27854202, Noise,0.9815440000000001
0,201561005,12.310166,12.41280103,OTHPER,0.992238
0,201473612,1.371608,1.3714161219999998,    EB,0.9903850000000001
0,201833284,19.940414,20.0, Noise,0.981232
0,201493012,14.065101,14.1678043,OTHPER,0.992187
0,201670373,10.363783,10.33286691,OTHPER,0.9943069999999999
