epic_number,som_x_pixel,som_y_pixel,som_distance,max_binned_p2p,mean_binned_p2p
206092433.0,35.0,18.0,0.3172684171468842,0.11024892330169678,0.0005258978926576674
206276816.0,16.0,22.0,0.649603637213686,0.2040199190378189,0.0010934148449450731
205915309.0,24.0,11.0,1.7401787712809866,0.878181517124176,0.014902597293257713
206534929.0,32.0,3.0,1.6374896270282748,0.32948142290115356,0.0028518466278910637
205957845.0,12.0,12.0,0.9811473265981279,0.2960662841796875,0.0013956313487142324
206036262.0,39.0,13.0,0.6878619672849785,0.25143739581108093,6.93116862748866e-06
206109248.0,8.0,22.0,0.5753134060998726,0.29244863986968994,0.0005986820324324071
206046362.0,37.0,22.0,0.09408947150704855,0.10891464352607727,0.0007852805429138243
205994192.0,22.0,24.0,0.589058554705473,0.10817393660545349,0.00028694907086901367
206523116.0,10.0,35.0,1.1148098365666659,0.5942957997322083,2.6540179533185437e-05
206167986.0,10.0,20.0,1.0136474598011558,0.22600090503692627,0.00046742227277718484
205985980.0,38.0,9.0,1.8870932172729558,0.5601556897163391,0.002871684031561017
206047048.0,13.0,18.0,0.560353642667933,0.2510349452495575,0.0015829082112759352
206144635.0,30.0,0.0,2.427673732743722,0.4904710352420807,0.0075909653678536415
206168658.0,17.0,13.0,0.901030625588906,0.3981994092464447,0.0033369320444762707
205970767.0,13.0,33.0,2.108550582132163,0.7020846605300903,0.004808240570127964
206368165.0,12.0,4.0,1.2287892760293952,0.39859962463378906,0.002983845304697752
205934862.0,26.0,6.0,1.7245601787255413,0.43835142254829407,0.00219084438867867
206007965.0,21.0,36.0,0.9598616948074971,0.3588206171989441,0.003940954338759184
206285903.0,15.0,12.0,1.8039456373697678,0.5398704409599304,0.008066823706030846
206033552.0,20.0,35.0,1.265911061793323,0.3403800427913666,0.0031866347417235374
206172561.0,13.0,39.0,2.052751325600995,0.3878543972969055,0.004425134509801865
206204211.0,5.0,15.0,0.08604416604649726,0.10140171647071838,0.0005418449873104692
206184512.0,32.0,14.0,0.6107924307563168,0.3823982775211334,0.0039990926161408424
206066911.0,19.0,10.0,0.7936120212440863,0.40111660957336426,0.003111420199275017
205988269.0,10.0,3.0,0.8556249509921116,0.18541237711906433,0.002136903116479516
