epic_number,Period_1,Period_2,amp_ratio_21,k2_teff,k2_rad,k2_mass,abs_magnitude,Class
206278128,12.50965125,0.5492319139999999,0.04390465433638687,5054.0,8.36,0.9,0.08868729097698491,OTHPER
206535016,15.84836353,16.847578100000003,1.0630484382888208,5273.0,0.81,0.89,5.837798397477815,OTHPER
206057733,1.052609938,16.67238347,15.839089930765978,4448.0,21.52,0.95,1.3195803006348736,OTHPER
206384381,15.24556319,16.168,1.0605052629741518,5696.0,0.95,0.93,5.322701336752116, Noise
206456363,19.0494853,17.98126902,0.9439241395146776,,,,,
206473876,17.58679124,18.60732198,1.058028251207012,4362.0,16.91,1.15,-0.2904016909848224, Noise
206015192,7.8146814010000005,4.976638996,0.6368319756916985,4922.0,2.9,1.2,-0.5738545935252723,OTHPER
206244790,20.0,12.91265237,0.6456326185,5298.0,0.87,0.9,4.507481108518993,OTHPER
206049222,0.704102098,0.100582306,0.1428518765754338,6214.0,1.32,1.14,1.4685512862576253,    EB
205957250,16.847578100000003,17.7818426,1.0554539349486676,,,,, Noise
206187518,13.12404942,16.50079498,1.2572944867804374,6096.0,1.42,1.15,,OTHPER
205941211,13.34248336,17.20925021,1.289808631996675,6607.0,1.63,1.37,3.270260336903366, Noise
205899868,20.0,18.82580772,0.941290386,4018.0,0.43,0.49,8.66462722250069, Noise
206040685,20.0,18.82580772,0.941290386,5320.0,1.69,0.95,5.152596452648638, Noise
206191784,20.0,12.80948727,0.6404743635,6199.0,1.28,1.09,, Noise
206329513,14.56452271,8.431094863,0.5788788984627152,,,,,
206268520,4.151849189,4.539801142,1.093440762257899,3967.0,0.44,0.5,9.993737843498957,OTHPER
206429262,20.0,17.98126902,0.899063451,,,,,
206413418,20.0,18.82580772,0.941290386,,,,,
206356244,20.0,14.82272104,0.741136052,,,,,
205964250,15.84836353,14.96103795,0.944011532905568,,,,, Noise
206072842,20.0,13.45444989,0.6727224945,6194.0,1.33,1.09,3.6090388365041797, Noise
206062148,20.0,12.60802469,0.6304012345000001,5850.0,1.16,1.02,4.205912404843907,OTHPER
206348588,20.0,18.82580772,0.941290386,,,,,
206190025,6.968364796,3.2510392589999997,0.4665426329095414,3794.0,0.34,0.39,, Noise
206038483,17.39597255,16.50079498,0.9485411024059128,5700.0,1.08,1.03,4.151532329126384,    EA
205957634,20.0,18.82580772,0.941290386,6072.0,1.13,1.0,3.7819945896669243, Noise
206297892,20.0,18.82580772,0.941290386,,,,,
206402108,0.30023389899999997,12.70795757,42.32685786757211,4635.0,17.67,0.9,,OTHPER
206170017,17.7818426,16.847578100000003,0.9474596350324236,,,,,
206206767,12.50965125,15.69323825,1.254490467909727,5829.0,2.37,1.35,3.439963446021677, Noise
205946116,16.67238347,17.58679124,1.0548456536910495,4091.0,90.19,0.83,9.340526819060187,OTHPER
206201145,15.69323825,12.70795757,0.8097728058133572,5996.0,1.31,1.09,4.356143438742418, Noise
206101393,20.0,18.82580772,0.941290386,6834.0,1.54,1.41,2.4561867463171456, Noise
205964123,17.20925021,14.96103795,0.8693602433246277,4849.0,0.73,0.79,6.108847607350498, Noise
206534619,20.0,17.20925021,0.8604625105,,,,10.64976061009996, Noise
206253131,15.39192304,14.5536205,0.9455362050718777,,,,,
206252029,15.39192304,16.33270241,1.0611216264241403,4216.0,0.52,0.59,7.7150306157232595, Noise
206305286,15.39192304,16.33270241,1.0611216264241403,5001.0,0.75,0.81,6.143089472221817,OTHPER
206218105,11.95020618,17.02649374,1.4247866089955612,5193.0,9.23,0.91,3.3801917783768953,OTHPER
206359136,20.0,18.82580772,0.941290386,4040.0,0.45,0.5,8.897482206977957, Noise
205974719,14.29411655,15.10196055,1.056515839728479,5081.0,2.93,1.08,2.5859078427127784,OTHPER
206393822,20.0,18.82580772,0.941290386,,,,,
206329204,19.75358815,18.60732198,0.9419717490667638,,,,,
205941804,16.67238347,17.58679124,1.0548456536910495,4707.0,0.71,0.78,6.452327702312585,OTHPER
