epic_number,Period_1,Period_2,amp_ratio_21,k2_teff,k2_rad,k2_mass,abs_magnitude,Class
206106803,13.232365,14.04370486,1.06131480351396,3885.0,0.33,0.35,8.461638071674155, Noise
206002094,14.04370486,14.82272104,1.055470845319374,5534.0,2.02,1.14,4.438084633371474, Noise
205929216,11.12128014,11.77468071,1.0587522804726328,3867.0,0.35,0.38,, Noise
206404348,19.27854202,18.18521939,0.9432881060784699,4092.0,0.5,0.57,9.449873096148865, Noise
206059945,13.12404942,13.92176057,1.0607823945545611,5758.0,1.83,1.09,3.851900946398823,OTHPER
206261305,20.0,4.354837795,0.21774188975,4087.0,0.47,0.53,9.376402930026039, Noise
206356690,19.0494853,17.98126902,0.9439241395146776,6434.0,1.28,0.85,2.9044535469462964,OTHPER
206402831,17.39597255,16.50079498,0.9485411024059128,,,,, Noise
206234910,18.60732198,19.75358815,1.0616029631363428,,,,,
206252553,12.91265237,20.0,1.5488684607095946,5395.0,0.93,0.9,5.29933920884411,OTHPER
206021225,16.33270241,15.54112028,0.9515339158132619,4945.0,9.68,0.93,1.9900735420384716, Noise
206357857,0.244324633,1.112501775,4.553375406072951,4694.0,12.77,0.96,1.2975272931044586, Noise
206189683,12.13104396,11.52085209,0.9496999704220015,,,,,
206414740,13.80191578,14.5536205,1.0544637956050475,,,,,
206482009,17.7818426,18.82580772,1.0587096142668588,,,,,
206362597,18.18521939,19.27854202,1.0601214979348126,5711.0,0.98,0.99,4.765058498313758, Noise
206382727,18.82580772,17.7818426,0.9445460648739697,5691.0,0.96,0.94,4.052465581504627,OTHPER
206459150,20.0,18.82580772,0.941290386,,,,,
206287721,8.090728079,9.766389013,1.2071087938734815,4241.0,0.55,0.61,7.837375480589561, Noise
206144774,15.39192304,14.5536205,0.9455362050718777,4831.0,0.69,0.74,6.635902941593908, Noise
206278128,12.50965125,11.86179414,0.9482114171648072,5054.0,8.36,0.9,0.08868729097698491,OTHPER
206535016,16.00658621,17.02649374,1.063717991870298,5273.0,0.81,0.89,5.837798397477815,OTHPER
206057733,1.052609938,8.215095631,7.804501301411806,4448.0,21.52,0.95,1.3195803006348736,OTHPER
206384381,14.96103795,15.84836353,1.059309092254525,5696.0,0.95,0.93,5.322701336752116, Noise
206456363,18.82580772,17.7818426,0.9445460648739697,,,,,
206473876,17.58679124,18.60732198,1.058028251207012,4362.0,16.91,1.15,-0.2904016909848224, Noise
206015192,7.739237342999999,4.961239309,0.6410501563810227,4922.0,2.9,1.2,-0.5738545935252723,OTHPER
206244790,20.0,13.12404942,0.6562024710000001,5298.0,0.87,0.9,4.507481108518993,OTHPER
206049222,0.704102098,0.234703532,0.3333373564241247,6214.0,1.32,1.14,1.4685512862576253,    EB
205957250,16.67238347,17.58679124,1.0548456536910495,,,,, Noise
206187518,6.905860242999999,15.54112028,2.2504249627340744,6096.0,1.42,1.15,,OTHPER
205941211,18.82580772,20.0,1.0623714157428992,6607.0,1.63,1.37,3.270260336903366, Noise
205899868,20.0,18.82580772,0.941290386,4018.0,0.43,0.49,8.66462722250069, Noise
206040685,14.68693823,11.35762667,0.7733147979611268,5320.0,1.69,0.95,5.152596452648638, Noise
206191784,19.51317428,18.393849399999997,0.9426374784574515,6199.0,1.28,1.09,, Noise
206329513,14.56452271,17.39597255,1.1944073208836377,,,,,
206268520,4.151849189,4.539801142,1.093440762257899,3967.0,0.44,0.5,9.993737843498957,OTHPER
206429262,18.393849399999997,19.51317428,1.0608532154231949,,,,,
206413418,20.0,18.82580772,0.941290386,,,,,
206356244,20.0,18.82580772,0.941290386,,,,,
205964250,15.69323825,14.82272104,0.9445291535034205,,,,, Noise
206072842,14.42270132,15.24556319,1.0570532420898806,6194.0,1.33,1.09,3.6090388365041797, Noise
206062148,7.628763572,11.95020618,1.5664669729523504,5850.0,1.16,1.02,4.205912404843907,OTHPER
206348588,20.0,16.33270241,0.8166351205,,,,,
206190025,1.9174429430000002,8.343346334,4.3512879298229,3794.0,0.34,0.39,, Noise
206038483,3.0015047000000004,0.50037953,0.1667095607080009,5700.0,1.08,1.03,4.151532329126384,    EA
205957634,17.98126902,17.02649374,0.94690167424012,6072.0,1.13,1.0,3.7819945896669243, Noise
206297892,20.0,18.82580772,0.941290386,,,,,
206402108,12.50965125,0.30023389899999997,0.024000181379956534,4635.0,17.67,0.9,,OTHPER
206170017,17.7818426,16.847578100000003,0.9474596350324236,,,,,
206206767,15.10196055,12.31743893,0.8156185343763198,5829.0,2.37,1.35,3.439963446021677, Noise
205946116,17.02649374,16.168,0.9495789471919778,4091.0,90.19,0.83,9.340526819060187,OTHPER
206201145,16.67238347,17.58679124,1.0548456536910495,5996.0,1.31,1.09,4.356143438742418, Noise
206101393,19.75358815,18.60732198,0.9419717490667638,6834.0,1.54,1.41,2.4561867463171456, Noise
205964123,15.69323825,16.67238347,1.0623928092087687,4849.0,0.73,0.79,6.108847607350498, Noise
206534619,16.00658621,20.0,1.2494856640640304,,,,10.64976061009996, Noise
206253131,15.39192304,14.5536205,0.9455362050718777,,,,,
206252029,15.39192304,16.33270241,1.0611216264241403,4216.0,0.52,0.59,7.7150306157232595, Noise
