epic_number,Period_1,PeriodAmp1,P1 0.5 Harmonic Amp,P1 2 Harmonic Amp,P1 3 Harmonic Amp,P1 4 Harmonic Amp,P1 5 Harmonic Amp,Period_2,PeriodAmp2,P2 0.5 Harmonic Amp,P2 2 Harmonic Amp,P2 3 Harmonic Amp,P2 4 Harmonic Amp,P2 5 Harmonic Amp,Period_3,PeriodAmp3,P3 0.5 Harmonic Amp,P3 2 Harmonic Amp,P3 3 Harmonic Amp,P3 4 Harmonic Amp,P3 5 Harmonic Amp,Period_4,PeriodAmp4,P4 0.5 Harmonic Amp,P4 2 Harmonic Amp,P4 3 Harmonic Amp,P4 4 Harmonic Amp,P4 5 Harmonic Amp,Period_5,PeriodAmp5,P5 0.5 Harmonic Amp,P5 2 Harmonic Amp,P5 3 Harmonic Amp,P5 4 Harmonic Amp,P5 5 Harmonic Amp,Period Doubled,1% Sig. Level
202963882,0.630826881,0.560019629,0.01956489,0.200523128,0.068052731,0.007447151,0.005190995,1.101041859,0.012685321,0.001718329,0.005671747,0.005808742,0.002471265,0.007540035,0.042406145,0.008182266,0.004463333,,,,,0.045062849,0.00795268,0.004463333,,,,,0.052573776,0.007055856,0.003118582,,,,,1,0.013521698
203911955,19.27854202,0.11735219,,0.027960163,0.002601111,0.009240574,0.011656698,18.18521939,0.114343706,,0.02748313,0.003443212,0.01094944,0.01094944,17.20925021,0.110204939,,0.006203288,0.004251113,0.01094944,0.008742895,16.33270241,0.104988267,,0.004700443,0.00459646,0.01094944,0.006862301,15.54112028,0.092043086,,0.001528424,0.00459646,,0.004498601,0,0.013026049
205463986,2.325028004,0.123978326,0.046817739,0.095385835,0.068970948,0.062733773,0.040254035,0.77447865,0.110378718,0.005214934,0.006884804,0.040254035,0.03092549,0.019459655,4.741173348,0.108108004,0.002084351,0.001880738,0.002566331,0.002695706,0.007963956,0.464701999,0.077383042,0.004208062,0.03092549,0.019459655,0.007762072,0.00370753,0.332003268,0.062733773,0.008381639,0.021037095,0.004126488,0.002160381,0.002706853,1,0.015703994
203636784,6.805678636,0.102114383,0.019543498,0.075927419,0.071131705,0.060195368,0.054405988,2.254467955,0.055455107,0.003633055,0.00428949,0.03833364,0.052250511,0.044192274,1.351665778,0.047447667,0.004273254,0.035118142,0.044192274,0.031571804,0.024555292,0.483042745,0.044192274,0.043880881,0.011849622,0.001198098,0.001126116,0.000904858,0.422792407,0.039240586,0.002110224,0.007823956,0.000788012,0.001126116,0.000896851,1,0.012599374
203907133,0.092541603,0.651527788,0.001596399,0.01850726,,,,0.080526633,0.090519181,0.005057457,0.002758259,,,,0.052295972,0.01850726,0.002670999,,,,,0.064871044,0.010623309,0.004069905,,,,,0.055879316,0.008692972,0.00339641,,,,,0,0.014108376
203031097,1.702770178,0.380349713,0.003125366,0.004351653,0.00141474,0.00442684,0.00442684,0.896616702,0.171998259,0.001506227,0.001421305,0.006458453,0.001772862,0.00442684,0.613781512,0.083228443,0.001390801,0.006458453,0.00442684,0.003287265,0.000960832,0.563318915,0.061304946,0.001554706,0.000817653,0.00442684,0.003287265,0.002908782,0.536370049,0.017695985,0.001554706,0.001772862,0.000766776,0.00071327,0.002908782,1,0.012028023
205131464,1.554966354,0.409048372,0.234776521,0.093965312,0.052349731,0.012950198,0.003042494,0.518503565,0.055012528,0.005840546,0.004724605,0.00291866,0.002518741,0.002771718,0.311068536,0.027720906,0.006297597,0.002518741,0.001498786,0.000864192,0.001116306,0.222181527,0.012428123,0.006451061,0.001498786,0.000938522,0.001116306,0.002757951,1.647509579,0.008149908,0.002630746,0.005840546,0.006297597,0.006451061,0.00566414,1,0.012559859
204181806,0.059675018,0.19836931,0.067146693,,,,,0.052811022,0.127522705,0.009390146,,,,,0.075225737,0.035814466,0.001177669,0.000542076,,,,0.064111003,0.03407984,0.002723427,,,,,0.093095064,0.023433168,0.000651944,0.001654798,,,,0,0.01194242
204171214,18.3938494,0.061840922,,0.053967651,0.038564491,0.029350069,0.022489326,12.13104396,0.060155356,,0.038564491,0.023105697,0.012916358,0.005770092,19.51317428,0.05972672,,0.053914209,0.038564491,0.032697326,0.023105697,17.39597255,0.059691714,,0.053914209,0.033837197,0.023105697,0.012959251,12.80948727,0.058836991,,0.038564491,,0.010777399,0.007363705,0,0.014073619
204034714,16.168,0.292850363,,0.017957395,0.018075437,0.007627458,0.017011032,15.39192304,0.253183435,,0.018174362,0.009037877,0.009287024,0.009923863,17.02649374,0.246133993,,0.010254671,0.02028756,0.00521115,0.009923863,14.5536205,0.146927795,,0.018174362,0.005729529,0.007627458,0.00659689,17.98126902,0.134365575,,0.006281094,0.02028756,0.001499195,,0,0.012267601
